,Unnamed: 0,xc,xc_stderr,yc,yc_stderr,rc,rc_stderr,theta0,theta0_stderr,Qtot,Qtot_stderr,fr,fr_stderr,alpha,alpha_stderr,a,a_stderr,phi,phi_stderr,Qc,Qc_stderr,Qc2,Qc2_stderr,Qi,Qi_stderr,nbar,tau,tau_stderr,temperature (mK)
0,0,-0.7769601500915307,7.602138397051822e-05,0.6571585421504708,7.55367728289763e-05,0.9004792180074526,6.523412797632189e-05,-0.7507730029932353,8.62000765650886e-05,82716.1511927466,9.9498029813568,5288309513.352803,4.338720758301911,2.4166664675831937,5.4411380983766634e-05,1.9175195131516447,0.00010430655009671502,0.0258468169866366,0.00010190282686662864,88069.68045073783,13.262141834302833,88099.10646665117,13.26860303097349,1353758.0454677548,4113.2351032086935,6691910.6423689965,0.0,0.0,22.23
0,0,-0.7699731597208526,7.483962695426008e-05,0.6635279973558498,7.455617630438412e-05,0.9000317580793717,6.43115862372413e-05,-0.7611206746084909,8.659094745373383e-05,82795.4738492161,10.010446746402566,5288309497.078666,4.356300829638334,2.4069068054682345,5.395957744031764e-05,1.9158679505116656,0.00010335410046886959,0.026434826486932742,0.00010199128607326696,88121.99868015715,13.257658710889118,88152.79747628127,13.26442273043451,1362369.1877246206,4169.331656679217,6700770.951150624,0.0,0.0,80.73
0,0,-0.7559289874169948,7.341782784992401e-05,0.6768975126961898,7.34865872650812e-05,0.901444817947762,6.326777394699951e-05,-0.7809148412883292,8.508139805924408e-05,83039.69804809822,9.882934399090162,5288309499.591985,4.274044884261744,2.3874833650925704,5.308128843763172e-05,1.9155346645402198,0.00010167075890492258,0.02680555279110664,0.00010024520710217864,88228.04068374082,13.058807174350536,88259.74776144545,13.065653900025364,1404021.648524142,4349.069550496381,6732258.8684343165,0.0,0.0,153.83
0,0,-0.7501225845028393,7.860061298512814e-05,0.6828512064647292,7.881473491452024e-05,0.9023730137682948,6.780620976764264e-05,-0.7884333990286939,8.999756919055776e-05,83105.18057278419,10.467317491622683,5288309478.236077,4.5192245678040255,2.379591938943694,5.667093488169095e-05,1.9161588096465292,0.00010858586304335376,0.026432684382594832,0.0001063167381963006,88235.53090135698,13.873399534851382,88266.36437804841,13.880465106838624,1421261.5607022191,4724.83538589243,6742308.413676713,0.0,0.0,167.19
0,0,-0.7464243949391332,8.051448147831911e-05,0.6878498450293833,8.089159869423839e-05,0.9019323774393496,6.951222749250055e-05,-0.7947464044335195,0.00011038804824823038,83026.86666175367,12.819303545362038,5288309333.736132,5.545750025749936,2.3734087395106154,6.148817098141217e-05,1.9163619402487408,0.00011783857378492373,0.026562490354341328,0.0001263019437182156,88204.79853512693,16.158614711176735,88235.92483451107,16.167028492748884,1406387.1285456421,5513.492137747211,6731952.315296387,0.0,0.0,250.31
0,0,-0.7418713123420007,8.165340651292918e-05,0.6994338472562559,8.229331721085382e-05,0.8970146727872379,7.054858324586258e-05,-0.8061647333016523,9.498009428325926e-05,82559.31679231468,10.929612674492288,5288308684.516887,4.785196783795186,2.362134593335791,5.91352115414317e-05,1.9160117158395185,0.00011330322481915061,0.026706673047649957,0.00011184438590083152,88172.81535332305,14.544040781032152,88204.26917180578,14.55161549196024,1290016.94105455,4099.881099724572,6658762.511664794,0.0,0.0,304.58
0,0,-0.7495297764126778,8.038983206680546e-05,0.7057959329938054,8.113409843471746e-05,0.8882281960505871,6.938552132917041e-05,-0.8047197882237758,9.946138294402625e-05,81673.30123589393,11.247046017792428,5288307339.5446615,5.038118868041757,2.3633736040394435,5.908636401886858e-05,1.9171824854563453,0.00011327904516685626,0.02650073867342595,0.00011564405387971821,88143.24030417185,14.895120937130587,88174.20038432791,14.902804054047587,1107766.458884087,3132.741066887221,6518797.380808123,0.0,0.0,350.82
0,0,-0.7613372483907574,7.742952679547522e-05,0.7138896962111813,7.830297581018387e-05,0.8746713790035769,6.672795433877523e-05,-0.8020550702731393,9.811997463141392e-05,80377.62744607321,10.811562018304297,5288305153.447501,5.0100893469044685,2.366092435188088,5.7055523495963926e-05,1.917786959595954,0.00010941681108054411,0.02655485187143425,0.00011345885024920876,88117.18861485156,14.524105573351646,88148.26611119488,14.531656205404445,911784.5776698436,2086.367338792556,6315480.027341703,0.0,0.0,398.42
0,0,-0.7763517614657325,7.960253258842574e-05,0.7354005666518403,8.106017460971971e-05,0.8506376805825557,6.85221520915578e-05,-0.8057148812312912,0.00011528280778997742,78090.64647804703,12.1219962567705,5288300681.144084,5.971795664189228,2.3622774063684573,6.077774358729781e-05,1.9194679627070657,0.00011665914444061304,0.026399634009955264,0.0001302668204252567,88105.95716794569,16.312465239440687,88136.66839884565,16.320967349147132,685111.9246950621,1357.6111293890015,5961974.722083154,0.0,0.0,449.81
0,0,-0.7954074928804532,8.36899107120393e-05,0.7552867180742261,8.592984305775853e-05,0.8209002986413929,7.190544500231444e-05,-0.8057321330174202,0.00010278090390075736,75431.531124728,10.217407825336164,5288294754.381621,5.416407516688831,2.3622858164563185,6.02421394980441e-05,1.9172725570223408,0.0001154847405362618,0.026425295883945044,0.00011909631259797488,88087.9229785708,15.167545187043352,88118.68766339785,15.175377818511816,523909.9486864739,728.4919723907407,5564008.920736302,0.0,0.0,505.72
0,0,-0.816856656111909,8.407171600368018e-05,0.775510938009761,8.720964545736477e-05,0.7886960305104109,7.209542721655963e-05,-0.8043098042672201,0.00010241580890535134,72589.96021099825,9.567874137969932,5288287448.507863,5.499853056946689,2.3636746193150917,6.001216081585912e-05,1.9145824824554483,0.0001148665046311875,0.026391769992518018,0.00011866960993500105,88107.1165859511,15.088853779828373,88137.80992142211,15.096635232225974,411498.7110398396,450.3615399397469,5151594.479495582,0.0,0.0,551.87
0,0,-0.8430930712389901,8.369384719430989e-05,0.8143031442661498,8.86487036184504e-05,0.7466671795224271,7.171892454919911e-05,-0.8105344830582331,0.00013155778299470575,68514.23899551935,11.196194738809526,5288275700.0361185,7.264870534746388,2.357023865781253,6.347638650884496e-05,1.9183880697669864,0.00012176806853058856,0.02596569524969272,0.00014601502009915226,88015.71992372572,17.594152161034078,88045.39912309928,17.603251762126643,308858.4333225359,314.1520294604378,4594125.995072197,0.0,0.0,598.57
0,0,-0.8710130719190938,8.574822607541794e-05,0.8339987118328634,9.240589972738006e-05,0.7114686069788139,7.335971932354409e-05,-0.8047460758282373,0.00012843106142423002,65336.07155650206,10.119676265485085,5288264938.715903,7.25456559769321,2.3626674227482938,6.350030221111118e-05,1.9170009991715409,0.00012167316612395618,0.025820844986738308,0.00014322584683991823,88021.67321733102,17.304728268847402,88051.02410142102,17.313562392309528,253265.244553662,208.90194771274554,4177530.7452466465,0.0,0.0,650.52
0,0,-0.911248088402805,9.054876452004338e-05,0.866834251539148,0.0001011024541538612,0.6589279558562775,7.739998116364367e-05,-0.7991605403586876,0.00015869554939813718,60485.628173017845,11.116885685848024,5288246399.500307,9.269062147550652,2.367851235497465,6.941689902455681e-05,1.9162898264297172,0.00013285749056518126,0.02541912226636001,0.00017315328403476855,87951.94746483494,20.130157888445662,87980.36939062498,20.14038764080241,193547.8449267337,149.85886133680324,3583151.853019984,0.0,0.0,693.64
0,0,-0.9844777954732776,8.964433839722826e-05,0.8794661414555082,8.950446347742938e-05,0.6044794667734139,8.017235736691673e-05,-0.766637831337086,0.00024019785359550585,55086.69421743332,21.921384130245976,5288222264.264682,20.956170747923206,2.4006901182472693,7.673141121992578e-05,1.924285088306833,0.00014749513412300847,0.025735295994562257,0.0002520354156745409,87680.81471199062,37.387911537623744,87709.85846802745,37.404624589103605,148104.76740295324,191.00596923516025,2981254.780523458,0.0,0.0,749.03
0,0,-1.0239091870708388,8.63899350809041e-05,0.922645738584833,8.748290802088018e-05,0.5480770695987724,7.68712023766588e-05,-0.7681485372626714,0.0002814129872954953,49858.93764813359,21.902949333837075,5288194054.392455,25.807862425479755,2.398290258066848,7.777464668091382e-05,1.9261240650585885,0.00014957701377663909,0.02484614173972588,0.00029182404714482764,87610.39732297974,40.96996550953645,87637.44657713022,40.98754268000568,115661.26108214358,137.80213752277692,2444248.022240471,0.0,0.0,811.86
0,0,-1.080586236043302,8.333851812386859e-05,0.9698832776325838,8.488138700550387e-05,0.4749644698425868,7.288014316310452e-05,-0.7637247398509577,0.0003162013809012003,43127.675739155566,19.521253360796983,5288150022.8155365,31.166332328458466,2.402179421488642,7.530789216635612e-05,1.9267906678879319,0.000144783582924897,0.024311507749806616,0.00032489630124266387,87478.12564742174,42.322871320894535,87503.98396276178,42.341025734968355,85041.85222471353,85.79432283215691,1831617.3606446888,0.0,0.0,864.88
0,0,-1.0972165376960636,7.946830127313141e-05,1.0015094317607989,8.23513620203667e-05,0.4423928130992667,6.927334158483111e-05,-0.7704028161037115,0.00034164790844352347,40120.176679289216,18.767521883648666,5288126868.1612,34.899093069117704,2.3947499296685217,7.410477492544691e-05,1.9277991208947745,0.00014258718284952058,0.02356009218244015,0.00034943731128187904,87415.11959770687,43.603497506551854,87439.3863125565,43.62154443235283,74136.56429971448,71.34447043624681,1586225.8901731046,0.0,0.0,896.24
0,0,-1.1701581515976427,7.149848241975399e-05,1.062348003432792,7.256565169096147e-05,0.3467266709513301,5.9055572936561586e-05,-0.7666374696449675,0.0004153730500097487,31357.879973561227,15.219926803289313,5288043460.041653,48.059225362092846,2.399142325466292,6.832887956343992e-05,1.9270628729366377,0.0001314128485195059,0.024187141521466504,0.0004207497472716908,87141.56038999301,45.21603173152,87167.05628739753,45.237962660375565,48977.14442761278,39.78051213000607,972092.6762254924,0.0,0.0,960.35
0,0,-1.2231826637869878,6.169975302922497e-05,1.1165670949451674,6.27868507978224e-05,0.272101547403002,5.2578366279534586e-05,-0.7660564125032501,0.0008298395418263903,24325.21890486988,26.04907523191871,5287954286.389611,133.3990488255063,2.3980340788786285,9.106680050103205e-05,1.9281910249741816,0.00017511749098621482,0.022497837792085473,0.0008344216994913334,86187.80234908898,94.1122857730005,86209.61904480275,94.15002368629244,33886.85759623397,52.60374487283696,591455.3591914467,0.0,0.0,1016.18
0,0,-1.2652713051075417,5.012367750466582e-05,1.1790090104364952,5.401847268104454e-05,0.20002017226056526,4.105216372090672e-05,-0.7686335894110555,0.0011252839945567,17692.41548030783,20.93587278219085,5287837859.222029,211.7133494659392,2.389552319826053,8.819483655507252e-05,1.929432634756596,0.00016976446344667067,0.016593255647315175,0.0011284344301026258,85332.20282129724,102.7579225774905,85343.951688535,102.78449606656388,22319.38454963355,34.0517234884547,316034.6421586115,0.0,0.0,1061.58
0,0,-1.2996803739975726,3.8464665862186105e-05,1.2063858790451092,4.06299284303534e-05,0.15479462014780432,2.9094016471060436e-05,-0.7673177322562474,0.001447027358491431,13513.340146375818,16.95426870815511,5287741844.334417,312.64032175038466,2.391869016136424,8.545161930353332e-05,1.9280525200550704,0.00016433180700640596,0.017594094802878324,0.0014491072071614378,84158.05891284657,107.00630168770952,84171.08624806907,107.04438375403231,16097.775285997073,24.375934095973662,186947.15790222317,0.0,0.0,1081.81
0,0,1.5303599236611043,2.9950574511024548e-05,1.0062981861272011,2.768256101717651e-05,0.093691874753139,2.343195238491984e-05,-2.5876895718660045,0.0004551299228173751,8635.793541092107,4.488051797947784,5287577679.949162,187.68951052224696,0.5803179814320476,2.381608566411728e-05,1.925224480127628,4.391369775968015e-05,0.026414899708258943,0.00045553053420446836,88726.16315152532,51.21274753867898,88757.12635715371,51.24175564185447,9566.593459954891,5.539748797768724,72421.73538160988,0.0,0.0,1095.48
0,0,1.5600023966417778,1.9906040532993132e-05,1.0291459415974042,1.7018028052463183e-05,0.053624206758106314,1.314964424381221e-05,-2.5882704372775365,0.0007073419870399269,4986.404175283161,2.7295491397971516,5287407095.718727,385.3193629462931,0.5823371168318515,1.8313882975893176e-05,1.9224907250518,3.252520589662971e-05,0.029014900519594544,0.0007070552835254118,89384.21990636061,53.63523950856278,89421.8578074157,53.68919246810324,5280.880316876592,3.0671810038463128,23969.45998879804,0.0,0.0,1140.57
0,0,-1.3631592545162912,2.7155901669279575e-05,-1.3050221901641166,2.4366022182924412e-05,0.034889205060966384,1.6689196102595936e-05,0.7445383868063685,0.0014178464076731868,3057.723076927445,2.4041404793443184,5287262939.961168,1034.0297452732173,-2.3783262858893233,2.343651315783533e-05,1.9220199771670856,4.5029101437344844e-05,0.018727980894102103,0.0014175994668353033,84223.82837656685,77.53891378679644,84238.60075315041,77.5847612147462,3172.893923594863,2.590996803350666,9565.973073737896,0.0,0.0,1153.33
0,0,1.5809786261579677,4.16737487520774e-05,1.040881612647302,3.304176160602116e-05,0.026265762859009945,2.460537564433045e-05,-2.5831084552411694,0.0025680325913882587,2484.0010995808348,3.10895039823313,5287106810.502085,2164.21708285652,0.5819172207105937,3.379491526553364e-05,1.9191208207739712,6.145890947753898e-05,0.02343302236196987,0.0025670329366162467,90747.37814812336,141.89909890872786,90772.29883908547,142.04309239901704,2553.8887474424373,3.2882756577773886,5859.532412487891,0.0,0.0,1182.66
0,0,1.5840454518917253,4.030868242339727e-05,1.0413324878780301,2.9218789935474102e-05,0.019936817079519772,2.451729655868789e-05,-2.574567188452374,0.003299926384760001,1935.3582539192364,2.4921375009547617,5287043870.464226,3210.3762442852612,0.5814002062281312,3.244890026357208e-05,1.9156070026748877,5.953292913561546e-05,0.01437474109071202,0.0032994988126892077,92978.37787007556,165.57960191370876,92987.98490622391,165.65543926406022,1976.4950306243868,2.600283364248982,3471.719212440304,0.0,0.0,1217.31
0,0,1.5955455146816888,4.5739048250898716e-05,1.026574627279762,3.23444556895613e-05,0.01940773346148017,2.7814740329824878e-05,-2.589126799226999,0.00415332218904546,1906.2495334760897,3.0550482656590563,5287025366.209464,4075.5559476367653,0.5715268168520492,3.876688660103632e-05,1.916670878186041,6.991647565414967e-05,0.01906096248925504,0.0041521741583958275,94128.790840543,202.405642859494,94145.89287933992,202.5795277959411,1945.6446043162111,3.1838018041446907,3326.9316671794395,0.0,0.0,1304.53
0,0,1.5884314470163332,3.879625192094832e-05,1.0318035918902153,2.744975442968496e-05,0.019393080348531818,2.355875247252757e-05,-2.5950195944796564,0.004127174086765346,1909.1150250374487,3.0386904530802514,5287037372.411968,4047.664275763055,0.57577665245593,3.6969469158452584e-05,1.9135159559767891,6.49264948187749e-05,0.02920359334579325,0.004124127003980334,94186.22510066457,188.61539055818264,94226.40273247773,189.03699844550633,1948.5953896509986,3.166701892151254,3334.891337051099,0.0,0.0,1500.53
